Subject,Gender,Year,Age,Cumulative,Candidates,Grades,Percent
Classical subjects,Male,2021,Aged 18,Non-cumulative percentages,1645,B,22.9
Classical subjects,Male,2021,Aged 18,Non-cumulative percentages,1645,C,14.5
Classical subjects,Male,2021,Aged 18,Non-cumulative percentages,1645,D,4.2
Classical subjects,Male,2021,Aged 18,Non-cumulative percentages,1645,E,0.9
Classical subjects,Male,2021,All ages,Cumulative percentages,1785,A and above,56.5
Classical subjects,Male,2021,All ages,Cumulative percentages,1785,A*,28.8
Classical subjects,Male,2021,All ages,Cumulative percentages,1785,B and above,79.5
Classical subjects,Male,2021,All ages,Cumulative percentages,1785,C and above,94.1
Classical subjects,Male,2021,All ages,Cumulative percentages,1785,D and above,98.8
Classical subjects,Male,2021,All ages,Cumulative percentages,1785,E and above,99.7
Classical subjects,Male,2021,All ages,Non-cumulative percentages,1785,A,27.7
Classical subjects,Male,2021,All ages,Non-cumulative percentages,1785,A*,28.8
Classical subjects,Male,2021,All ages,Non-cumulative percentages,1785,B,23.1
Classical subjects,Male,2021,All ages,Non-cumulative percentages,1785,C,14.5
Classical subjects,Male,2021,All ages,Non-cumulative percentages,1785,D,4.7
Classical subjects,Male,2021,All ages,Non-cumulative percentages,1785,E,0.9
Communication studies,All,2008,All ages,Cumulative percentages,2040,A and above,22.4
Communication studies,All,2008,All ages,Cumulative percentages,2040,B and above,50.1
Communication studies,All,2008,All ages,Cumulative percentages,2040,C and above,79.3
Communication studies,All,2008,All ages,Cumulative percentages,2040,D and above,94.9
Communication studies,All,2008,All ages,Cumulative percentages,2040,E and above,99.5
Communication studies,All,2008,All ages,Non-cumulative percentages,2040,A,22.4
Communication studies,All,2008,All ages,Non-cumulative percentages,2040,B,27.7
Communication studies,All,2008,All ages,Non-cumulative percentages,2040,C,29.2
Communication studies,All,2008,All ages,Non-cumulative percentages,2040,D,15.6
Communication studies,All,2008,All ages,Non-cumulative percentages,2040,E,4.6
Communication studies,All,2009,All ages,Cumulative percentages,2145,A and above,22.1
Communication studies,All,2009,All ages,Cumulative percentages,2145,B and above,52.5
Communication studies,All,2009,All ages,Cumulative percentages,2145,C and above,82
Communication studies,All,2009,All ages,Cumulative percentages,2145,D and above,94.5
Communication studies,All,2009,All ages,Cumulative percentages,2145,E and above,98.6
Communication studies,All,2009,All ages,Non-cumulative percentages,2145,A,22.1
Communication studies,All,2009,All ages,Non-cumulative percentages,2145,B,30.4
Communication studies,All,2009,All ages,Non-cumulative percentages,2145,C,29.5
Communication studies,All,2009,All ages,Non-cumulative percentages,2145,D,12.5
Communication studies,All,2009,All ages,Non-cumulative percentages,2145,E,4.1
Communication studies,All,2010,All ages,Cumulative percentages,2055,A and above,19.9
Communication studies,All,2010,All ages,Cumulative percentages,2055,A*,6.4
Communication studies,All,2010,All ages,Cumulative percentages,2055,B and above,49.5
Communication studies,All,2010,All ages,Cumulative percentages,2055,C and above,78.7
Communication studies,All,2010,All ages,Cumulative percentages,2055,D and above,95.8
Communication studies,All,2010,All ages,Cumulative percentages,2055,E and above,99.4
Communication studies,All,2010,All ages,Non-cumulative percentages,2055,A,13.5
Communication studies,All,2010,All ages,Non-cumulative percentages,2055,A*,6.4
Communication studies,All,2010,All ages,Non-cumulative percentages,2055,B,29.6
Communication studies,All,2010,All ages,Non-cumulative percentages,2055,C,29.2
Communication studies,All,2010,All ages,Non-cumulative percentages,2055,D,17.1
Communication studies,All,2010,All ages,Non-cumulative percentages,2055,E,3.6
Communication studies,All,2011,All ages,Cumulative percentages,2005,A and above,19.2
Communication studies,All,2011,All ages,Cumulative percentages,2005,A*,5.6
Communication studies,All,2011,All ages,Cumulative percentages,2005,B and above,50
Communication studies,All,2011,All ages,Cumulative percentages,2005,C and above,79.8
Communication studies,All,2011,All ages,Cumulative percentages,2005,D and above,95.2
Communication studies,All,2011,All ages,Cumulative percentages,2005,E and above,99
Communication studies,All,2011,All ages,Non-cumulative percentages,2005,A,13.6
Communication studies,All,2011,All ages,Non-cumulative percentages,2005,A*,5.6
Communication studies,All,2011,All ages,Non-cumulative percentages,2005,B,30.8
Communication studies,All,2011,All ages,Non-cumulative percentages,2005,C,29.8
Communication studies,All,2011,All ages,Non-cumulative percentages,2005,D,15.4
Communication studies,All,2011,All ages,Non-cumulative percentages,2005,E,3.8
Communication studies,All,2012,All ages,Cumulative percentages,2110,A and above,17.4
Communication studies,All,2012,All ages,Cumulative percentages,2110,A*,5.5
Communication studies,All,2012,All ages,Cumulative percentages,2110,B and above,50.7
Communication studies,All,2012,All ages,Cumulative percentages,2110,C and above,81.9
Communication studies,All,2012,All ages,Cumulative percentages,2110,D and above,97.2
Communication studies,All,2012,All ages,Cumulative percentages,2110,E and above,99.6
Communication studies,All,2012,All ages,Non-cumulative percentages,2110,A,11.9
Communication studies,All,2012,All ages,Non-cumulative percentages,2110,A*,5.5
Communication studies,All,2012,All ages,Non-cumulative percentages,2110,B,33.3
Communication studies,All,2012,All ages,Non-cumulative percentages,2110,C,31.2
Communication studies,All,2012,All ages,Non-cumulative percentages,2110,D,15.3
Communication studies,All,2012,All ages,Non-cumulative percentages,2110,E,2.4
Communication studies,All,2013,All ages,Cumulative percentages,1760,A and above,15.9
Communication studies,All,2013,All ages,Cumulative percentages,1760,A*,3
Communication studies,All,2013,All ages,Cumulative percentages,1760,B and above,47.3
Communication studies,All,2013,All ages,Cumulative percentages,1760,C and above,80.8
Communication studies,All,2013,All ages,Cumulative percentages,1760,D and above,96
Communication studies,All,2013,All ages,Cumulative percentages,1760,E and above,99
Communication studies,All,2013,All ages,Non-cumulative percentages,1760,A,12.9
Communication studies,All,2013,All ages,Non-cumulative percentages,1760,A*,3
Communication studies,All,2013,All ages,Non-cumulative percentages,1760,B,31.4
Communication studies,All,2013,All ages,Non-cumulative percentages,1760,C,33.5
Communication studies,All,2013,All ages,Non-cumulative percentages,1760,D,15.2
Communication studies,All,2013,All ages,Non-cumulative percentages,1760,E,3
Communication studies,All,2014,All ages,Cumulative percentages,1740,A and above,16.3
Communication studies,All,2014,All ages,Cumulative percentages,1740,A*,2.8
Communication studies,All,2014,All ages,Cumulative percentages,1740,B and above,49.7
Communication studies,All,2014,All ages,Cumulative percentages,1740,C and above,82.7
Communication studies,All,2014,All ages,Cumulative percentages,1740,D and above,97.1
Communication studies,All,2014,All ages,Cumulative percentages,1740,E and above,99.4
Communication studies,All,2014,All ages,Non-cumulative percentages,1740,A,13.5
Communication studies,All,2014,All ages,Non-cumulative percentages,1740,A*,2.8
Communication studies,All,2014,All ages,Non-cumulative percentages,1740,B,33.4
Communication studies,All,2014,All ages,Non-cumulative percentages,1740,C,33
Communication studies,All,2014,All ages,Non-cumulative percentages,1740,D,14.4
Communication studies,All,2014,All ages,Non-cumulative percentages,1740,E,2.3
Communication studies,All,2015,All ages,Cumulative percentages,1845,A and above,16.5
Communication studies,All,2015,All ages,Cumulative percentages,1845,A*,3.3
Communication studies,All,2015,All ages,Cumulative percentages,1845,B and above,51.9
Communication studies,All,2015,All ages,Cumulative percentages,1845,C and above,86
Communication studies,All,2015,All ages,Cumulative percentages,1845,D and above,97.5
Communication studies,All,2015,All ages,Cumulative percentages,1845,E and above,99.6
Communication studies,All,2015,All ages,Non-cumulative percentages,1845,A,13.2
Communication studies,All,2015,All ages,Non-cumulative percentages,1845,A*,3.3
Communication studies,All,2015,All ages,Non-cumulative percentages,1845,B,35.4
Communication studies,All,2015,All ages,Non-cumulative percentages,1845,C,34.1
Communication studies,All,2015,All ages,Non-cumulative percentages,1845,D,11.5
Communication studies,All,2015,All ages,Non-cumulative percentages,1845,E,2.1
Communication studies,All,2016,All ages,Cumulative percentages,1830,A and above,12.4
Communication studies,All,2016,All ages,Cumulative percentages,1830,A*,2
Communication studies,All,2016,All ages,Cumulative percentages,1830,B and above,46.6
Communication studies,All,2016,All ages,Cumulative percentages,1830,C and above,82.4
Communication studies,All,2016,All ages,Cumulative percentages,1830,D and above,97.3
Communication studies,All,2016,All ages,Cumulative percentages,1830,E and above,99.3
Communication studies,All,2016,All ages,Non-cumulative percentages,1830,A,10.4
Communication studies,All,2016,All ages,Non-cumulative percentages,1830,A*,2
Communication studies,All,2016,All ages,Non-cumulative percentages,1830,B,34.2
Communication studies,All,2016,All ages,Non-cumulative percentages,1830,C,35.8
Communication studies,All,2016,All ages,Non-cumulative percentages,1830,D,14.9
Communication studies,All,2016,All ages,Non-cumulative percentages,1830,E,2
Communication studies,All,2017,Aged 18,Cumulative percentages,1240,A and above,13.8
Communication studies,All,2017,Aged 18,Cumulative percentages,1240,A*,3
Communication studies,All,2017,Aged 18,Cumulative percentages,1240,B and above,49.6
Communication studies,All,2017,Aged 18,Cumulative percentages,1240,C and above,85.3
Communication studies,All,2017,Aged 18,Cumulative percentages,1240,D and above,97.3
Communication studies,All,2017,Aged 18,Cumulative percentages,1240,E and above,99.7
Communication studies,All,2017,Aged 18,Non-cumulative percentages,1240,A,10.8
Communication studies,All,2017,Aged 18,Non-cumulative percentages,1240,A*,3
Communication studies,All,2017,Aged 18,Non-cumulative percentages,1240,B,35.9
Communication studies,All,2017,Aged 18,Non-cumulative percentages,1240,C,35.6
Communication studies,All,2017,Aged 18,Non-cumulative percentages,1240,D,12
Communication studies,All,2017,Aged 18,Non-cumulative percentages,1240,E,2.4
Communication studies,All,2017,All ages,Cumulative percentages,1535,A and above,13.7
Communication studies,All,2017,All ages,Cumulative percentages,1535,A*,2.8
Communication studies,All,2017,All ages,Cumulative percentages,1535,B and above,50.1
Communication studies,All,2017,All ages,Cumulative percentages,1535,C and above,85.5
Communication studies,All,2017,All ages,Cumulative percentages,1535,D and above,96.9
Communication studies,All,2017,All ages,Cumulative percentages,1535,E and above,99.5
Communication studies,All,2017,All ages,Non-cumulative percentages,1535,A,10.9
Communication studies,All,2017,All ages,Non-cumulative percentages,1535,A*,2.8
Communication studies,All,2017,All ages,Non-cumulative percentages,1535,B,36.4
Communication studies,All,2017,All ages,Non-cumulative percentages,1535,C,35.4
Communication studies,All,2017,All ages,Non-cumulative percentages,1535,D,11.5
Communication studies,All,2017,All ages,Non-cumulative percentages,1535,E,2.5
Communication studies,All,2018,Aged 18,Cumulative percentages,965,A and above,14.8
Communication studies,All,2018,Aged 18,Cumulative percentages,965,A*,2.5
Communication studies,All,2018,Aged 18,Cumulative percentages,965,B and above,50.7
Communication studies,All,2018,Aged 18,Cumulative percentages,965,C and above,86.6
Communication studies,All,2018,Aged 18,Cumulative percentages,965,D and above,97.1
Communication studies,All,2018,Aged 18,Cumulative percentages,965,E and above,99.7
Communication studies,All,2018,Aged 18,Non-cumulative percentages,965,A,12.3
Communication studies,All,2018,Aged 18,Non-cumulative percentages,965,A*,2.5
Communication studies,All,2018,Aged 18,Non-cumulative percentages,965,B,35.9
Communication studies,All,2018,Aged 18,Non-cumulative percentages,965,C,35.9
Communication studies,All,2018,Aged 18,Non-cumulative percentages,965,D,10.5
Communication studies,All,2018,Aged 18,Non-cumulative percentages,965,E,2.6
Communication studies,All,2018,All ages,Cumulative percentages,1160,A and above,14.2
Communication studies,All,2018,All ages,Cumulative percentages,1160,A*,2.2
Communication studies,All,2018,All ages,Cumulative percentages,1160,B and above,50.2
Communication studies,All,2018,All ages,Cumulative percentages,1160,C and above,86.3
Communication studies,All,2018,All ages,Cumulative percentages,1160,D and above,96.8
Communication studies,All,2018,All ages,Cumulative percentages,1160,E and above,99.7
Communication studies,All,2018,All ages,Non-cumulative percentages,1160,A,12
Communication studies,All,2018,All ages,Non-cumulative percentages,1160,A*,2.2
Communication studies,All,2018,All ages,Non-cumulative percentages,1160,B,36
Communication studies,All,2018,All ages,Non-cumulative percentages,1160,C,36.1
Communication studies,All,2018,All ages,Non-cumulative percentages,1160,D,10.5
Communication studies,All,2018,All ages,Non-cumulative percentages,1160,E,2.8
Communication studies,All,2019,Aged 18,Cumulative percentages,0,A and above,0
Communication studies,All,2019,Aged 18,Cumulative percentages,0,A*,0
Communication studies,All,2019,Aged 18,Cumulative percentages,0,B and above,0
Communication studies,All,2019,Aged 18,Cumulative percentages,0,C and above,0
Communication studies,All,2019,Aged 18,Cumulative percentages,0,D and above,0
Communication studies,All,2019,Aged 18,Cumulative percentages,0,E and above,0
Communication studies,All,2019,Aged 18,Non-cumulative percentages,0,A,0
Communication studies,All,2019,Aged 18,Non-cumulative percentages,0,A*,0
Communication studies,All,2019,Aged 18,Non-cumulative percentages,0,B,0
Communication studies,All,2019,Aged 18,Non-cumulative percentages,0,C,0
Communication studies,All,2019,Aged 18,Non-cumulative percentages,0,D,0
Communication studies,All,2019,Aged 18,Non-cumulative percentages,0,E,0
Communication studies,All,2019,All ages,Cumulative percentages,Fewer than 5 candidates,A and above,100
Communication studies,All,2019,All ages,Cumulative percentages,Fewer than 5 candidates,A*,0
Communication studies,All,2019,All ages,Cumulative percentages,Fewer than 5 candidates,B and above,100
Communication studies,All,2019,All ages,Cumulative percentages,Fewer than 5 candidates,C and above,100
Communication studies,All,2019,All ages,Cumulative percentages,Fewer than 5 candidates,D and above,100
Communication studies,All,2019,All ages,Cumulative percentages,Fewer than 5 candidates,E and above,100
Communication studies,All,2019,All ages,Non-cumulative percentages,Fewer than 5 candidates,A,100
Communication studies,All,2019,All ages,Non-cumulative percentages,Fewer than 5 candidates,A*,0
Communication studies,All,2019,All ages,Non-cumulative percentages,Fewer than 5 candidates,B,0
Communication studies,All,2019,All ages,Non-cumulative percentages,Fewer than 5 candidates,C,0
Communication studies,All,2019,All ages,Non-cumulative percentages,Fewer than 5 candidates,D,0
Communication studies,All,2019,All ages,Non-cumulative percentages,Fewer than 5 candidates,E,0
Communication studies,Female,2008,All ages,Cumulative percentages,1385,A and above,24.2
Communication studies,Female,2008,All ages,Cumulative percentages,1385,B and above,53.8
Communication studies,Female,2008,All ages,Cumulative percentages,1385,C and above,82.1
Communication studies,Female,2008,All ages,Cumulative percentages,1385,D and above,95.7
Communication studies,Female,2008,All ages,Cumulative percentages,1385,E and above,99.6
Communication studies,Female,2008,All ages,Non-cumulative percentages,1385,A,24.2
Communication studies,Female,2008,All ages,Non-cumulative percentages,1385,B,29.6
Communication studies,Female,2008,All ages,Non-cumulative percentages,1385,C,28.3
Communication studies,Female,2008,All ages,Non-cumulative percentages,1385,D,13.6
Communication studies,Female,2008,All ages,Non-cumulative percentages,1385,E,3.9
Communication studies,Female,2009,All ages,Cumulative percentages,1500,A and above,23.7
Communication studies,Female,2009,All ages,Cumulative percentages,1500,B and above,54.7
Communication studies,Female,2009,All ages,Cumulative percentages,1500,C and above,83.6
Communication studies,Female,2009,All ages,Cumulative percentages,1500,D and above,95.6
Communication studies,Female,2009,All ages,Cumulative percentages,1500,E and above,99
Communication studies,Female,2009,All ages,Non-cumulative percentages,1500,A,23.7
Communication studies,Female,2009,All ages,Non-cumulative percentages,1500,B,31
Communication studies,Female,2009,All ages,Non-cumulative percentages,1500,C,28.9
Communication studies,Female,2009,All ages,Non-cumulative percentages,1500,D,12
Communication studies,Female,2009,All ages,Non-cumulative percentages,1500,E,3.4
Communication studies,Female,2010,All ages,Cumulative percentages,1475,A and above,19.9
Communication studies,Female,2010,All ages,Cumulative percentages,1475,A*,6.2
Communication studies,Female,2010,All ages,Cumulative percentages,1475,B and above,50.9
Communication studies,Female,2010,All ages,Cumulative percentages,1475,C and above,80.4
Communication studies,Female,2010,All ages,Cumulative percentages,1475,D and above,96.6
Communication studies,Female,2010,All ages,Cumulative percentages,1475,E and above,99.5
Communication studies,Female,2010,All ages,Non-cumulative percentages,1475,A,13.7
Communication studies,Female,2010,All ages,Non-cumulative percentages,1475,A*,6.2
Communication studies,Female,2010,All ages,Non-cumulative percentages,1475,B,31
Communication studies,Female,2010,All ages,Non-cumulative percentages,1475,C,29.5
Communication studies,Female,2010,All ages,Non-cumulative percentages,1475,D,16.2
Communication studies,Female,2010,All ages,Non-cumulative percentages,1475,E,2.9
Communication studies,Female,2011,All ages,Cumulative percentages,1450,A and above,19.7
Communication studies,Female,2011,All ages,Cumulative percentages,1450,A*,5
Communication studies,Female,2011,All ages,Cumulative percentages,1450,B and above,51.6
Communication studies,Female,2011,All ages,Cumulative percentages,1450,C and above,81.3
Communication studies,Female,2011,All ages,Cumulative percentages,1450,D and above,96.2
Communication studies,Female,2011,All ages,Cumulative percentages,1450,E and above,99.2
Communication studies,Female,2011,All ages,Non-cumulative percentages,1450,A,14.7
Communication studies,Female,2011,All ages,Non-cumulative percentages,1450,A*,5
Communication studies,Female,2011,All ages,Non-cumulative percentages,1450,B,31.9
Communication studies,Female,2011,All ages,Non-cumulative percentages,1450,C,29.7
Communication studies,Female,2011,All ages,Non-cumulative percentages,1450,D,14.9
Communication studies,Female,2011,All ages,Non-cumulative percentages,1450,E,3
Communication studies,Female,2012,All ages,Cumulative percentages,1545,A and above,18.4
Communication studies,Female,2012,All ages,Cumulative percentages,1545,A*,5.5
Communication studies,Female,2012,All ages,Cumulative percentages,1545,B and above,52.6
Communication studies,Female,2012,All ages,Cumulative percentages,1545,C and above,84.2
Communication studies,Female,2012,All ages,Cumulative percentages,1545,D and above,97.8
Communication studies,Female,2012,All ages,Cumulative percentages,1545,E and above,99.7
Communication studies,Female,2012,All ages,Non-cumulative percentages,1545,A,12.9
Communication studies,Female,2012,All ages,Non-cumulative percentages,1545,A*,5.5
Communication studies,Female,2012,All ages,Non-cumulative percentages,1545,B,34.2
Communication studies,Female,2012,All ages,Non-cumulative percentages,1545,C,31.6
Communication studies,Female,2012,All ages,Non-cumulative percentages,1545,D,13.6
Communication studies,Female,2012,All ages,Non-cumulative percentages,1545,E,1.9
Communication studies,Female,2013,All ages,Cumulative percentages,1285,A and above,17.3
Communication studies,Female,2013,All ages,Cumulative percentages,1285,A*,2.9
Communication studies,Female,2013,All ages,Cumulative percentages,1285,B and above,49.7
Communication studies,Female,2013,All ages,Cumulative percentages,1285,C and above,83.1
Communication studies,Female,2013,All ages,Cumulative percentages,1285,D and above,96.7
Communication studies,Female,2013,All ages,Cumulative percentages,1285,E and above,99.1
Communication studies,Female,2013,All ages,Non-cumulative percentages,1285,A,14.4
Communication studies,Female,2013,All ages,Non-cumulative percentages,1285,A*,2.9
Communication studies,Female,2013,All ages,Non-cumulative percentages,1285,B,32.4
Communication studies,Female,2013,All ages,Non-cumulative percentages,1285,C,33.4
Communication studies,Female,2013,All ages,Non-cumulative percentages,1285,D,13.6
Communication studies,Female,2013,All ages,Non-cumulative percentages,1285,E,2.4
Communication studies,Female,2014,All ages,Cumulative percentages,1260,A and above,17.9
Communication studies,Female,2014,All ages,Cumulative percentages,1260,A*,3
Communication studies,Female,2014,All ages,Cumulative percentages,1260,B and above,53.3
Communication studies,Female,2014,All ages,Cumulative percentages,1260,C and above,86
Communication studies,Female,2014,All ages,Cumulative percentages,1260,D and above,98.2
Communication studies,Female,2014,All ages,Cumulative percentages,1260,E and above,99.6
Communication studies,Female,2014,All ages,Non-cumulative percentages,1260,A,14.9
Communication studies,Female,2014,All ages,Non-cumulative percentages,1260,A*,3
Communication studies,Female,2014,All ages,Non-cumulative percentages,1260,B,35.4
Communication studies,Female,2014,All ages,Non-cumulative percentages,1260,C,32.7
Communication studies,Female,2014,All ages,Non-cumulative percentages,1260,D,12.2
Communication studies,Female,2014,All ages,Non-cumulative percentages,1260,E,1.4
Communication studies,Female,2015,All ages,Cumulative percentages,1350,A and above,17.4
Communication studies,Female,2015,All ages,Cumulative percentages,1350,A*,2.9
Communication studies,Female,2015,All ages,Cumulative percentages,1350,B and above,55.1
Communication studies,Female,2015,All ages,Cumulative percentages,1350,C and above,87.8
Communication studies,Female,2015,All ages,Cumulative percentages,1350,D and above,97.6
Communication studies,Female,2015,All ages,Cumulative percentages,1350,E and above,99.6
Communication studies,Female,2015,All ages,Non-cumulative percentages,1350,A,14.5
Communication studies,Female,2015,All ages,Non-cumulative percentages,1350,A*,2.9
Communication studies,Female,2015,All ages,Non-cumulative percentages,1350,B,37.7
Communication studies,Female,2015,All ages,Non-cumulative percentages,1350,C,32.7
Communication studies,Female,2015,All ages,Non-cumulative percentages,1350,D,9.8
Communication studies,Female,2015,All ages,Non-cumulative percentages,1350,E,2
Communication studies,Female,2016,All ages,Cumulative percentages,1345,A and above,13.2
Communication studies,Female,2016,All ages,Cumulative percentages,1345,A*,1.9
Communication studies,Female,2016,All ages,Cumulative percentages,1345,B and above,50.3
Communication studies,Female,2016,All ages,Cumulative percentages,1345,C and above,85.2
Communication studies,Female,2016,All ages,Cumulative percentages,1345,D and above,97.6
Communication studies,Female,2016,All ages,Cumulative percentages,1345,E and above,99.6
Communication studies,Female,2016,All ages,Non-cumulative percentages,1345,A,11.3
Communication studies,Female,2016,All ages,Non-cumulative percentages,1345,A*,1.9
Communication studies,Female,2016,All ages,Non-cumulative percentages,1345,B,37.1
Communication studies,Female,2016,All ages,Non-cumulative percentages,1345,C,34.9
Communication studies,Female,2016,All ages,Non-cumulative percentages,1345,D,12.4
Communication studies,Female,2016,All ages,Non-cumulative percentages,1345,E,2
Communication studies,Female,2017,Aged 18,Cumulative percentages,940,A and above,14.1
Communication studies,Female,2017,Aged 18,Cumulative percentages,940,A*,3.2
Communication studies,Female,2017,Aged 18,Cumulative percentages,940,B and above,53
Communication studies,Female,2017,Aged 18,Cumulative percentages,940,C and above,88.1
Communication studies,Female,2017,Aged 18,Cumulative percentages,940,D and above,98
Communication studies,Female,2017,Aged 18,Cumulative percentages,940,E and above,99.7
Communication studies,Female,2017,Aged 18,Non-cumulative percentages,940,A,10.9
Communication studies,Female,2017,Aged 18,Non-cumulative percentages,940,A*,3.2
Communication studies,Female,2017,Aged 18,Non-cumulative percentages,940,B,38.9
Communication studies,Female,2017,Aged 18,Non-cumulative percentages,940,C,35.1
Communication studies,Female,2017,Aged 18,Non-cumulative percentages,940,D,9.9
Communication studies,Female,2017,Aged 18,Non-cumulative percentages,940,E,1.7
Communication studies,Female,2017,All ages,Cumulative percentages,1135,A and above,13.6
Communication studies,Female,2017,All ages,Cumulative percentages,1135,A*,3
Communication studies,Female,2017,All ages,Cumulative percentages,1135,B and above,53
Communication studies,Female,2017,All ages,Cumulative percentages,1135,C and above,87.7
Communication studies,Female,2017,All ages,Cumulative percentages,1135,D and above,97.6
Communication studies,Female,2017,All ages,Cumulative percentages,1135,E and above,99.6
Communication studies,Female,2017,All ages,Non-cumulative percentages,1135,A,10.6
Communication studies,Female,2017,All ages,Non-cumulative percentages,1135,A*,3
Communication studies,Female,2017,All ages,Non-cumulative percentages,1135,B,39.4
Communication studies,Female,2017,All ages,Non-cumulative percentages,1135,C,34.7
Communication studies,Female,2017,All ages,Non-cumulative percentages,1135,D,10
Communication studies,Female,2017,All ages,Non-cumulative percentages,1135,E,1.9
Communication studies,Female,2018,Aged 18,Cumulative percentages,710,A and above,17.6
Communication studies,Female,2018,Aged 18,Cumulative percentages,710,A*,2.7
Communication studies,Female,2018,Aged 18,Cumulative percentages,710,B and above,54.4
Communication studies,Female,2018,Aged 18,Cumulative percentages,710,C and above,89.2
Communication studies,Female,2018,Aged 18,Cumulative percentages,710,D and above,98.2
Communication studies,Female,2018,Aged 18,Cumulative percentages,710,E and above,99.7
Communication studies,Female,2018,Aged 18,Non-cumulative percentages,710,A,14.9
Communication studies,Female,2018,Aged 18,Non-cumulative percentages,710,A*,2.7
Communication studies,Female,2018,Aged 18,Non-cumulative percentages,710,B,36.8
Communication studies,Female,2018,Aged 18,Non-cumulative percentages,710,C,34.8
Communication studies,Female,2018,Aged 18,Non-cumulative percentages,710,D,9
Communication studies,Female,2018,Aged 18,Non-cumulative percentages,710,E,1.5
Communication studies,Female,2018,All ages,Cumulative percentages,850,A and above,16.3
Communication studies,Female,2018,All ages,Cumulative percentages,850,A*,2.4
Communication studies,Female,2018,All ages,Cumulative percentages,850,B and above,53.4
Communication studies,Female,2018,All ages,Cumulative percentages,850,C and above,88.3
Communication studies,Female,2018,All ages,Cumulative percentages,850,D and above,97.8
Communication studies,Female,2018,All ages,Cumulative percentages,850,E and above,99.6
Communication studies,Female,2018,All ages,Non-cumulative percentages,850,A,13.9
Communication studies,Female,2018,All ages,Non-cumulative percentages,850,A*,2.4
Communication studies,Female,2018,All ages,Non-cumulative percentages,850,B,37.1
Communication studies,Female,2018,All ages,Non-cumulative percentages,850,C,34.9
Communication studies,Female,2018,All ages,Non-cumulative percentages,850,D,9.4
Communication studies,Female,2018,All ages,Non-cumulative percentages,850,E,1.9
Communication studies,Female,2019,Aged 18,Cumulative percentages,0,A and above,0
Communication studies,Female,2019,Aged 18,Cumulative percentages,0,A*,0
Communication studies,Female,2019,Aged 18,Cumulative percentages,0,B and above,0
Communication studies,Female,2019,Aged 18,Cumulative percentages,0,C and above,0
Communication studies,Female,2019,Aged 18,Cumulative percentages,0,D and above,0
Communication studies,Female,2019,Aged 18,Cumulative percentages,0,E and above,0
Communication studies,Female,2019,Aged 18,Non-cumulative percentages,0,A,0
Communication studies,Female,2019,Aged 18,Non-cumulative percentages,0,A*,0
Communication studies,Female,2019,Aged 18,Non-cumulative percentages,0,B,0
Communication studies,Female,2019,Aged 18,Non-cumulative percentages,0,C,0
Communication studies,Female,2019,Aged 18,Non-cumulative percentages,0,D,0
Communication studies,Female,2019,Aged 18,Non-cumulative percentages,0,E,0
Communication studies,Female,2019,All ages,Cumulative percentages,0,A and above,0
Communication studies,Female,2019,All ages,Cumulative percentages,0,A*,0
Communication studies,Female,2019,All ages,Cumulative percentages,0,B and above,0
Communication studies,Female,2019,All ages,Cumulative percentages,0,C and above,0
Communication studies,Female,2019,All ages,Cumulative percentages,0,D and above,0
Communication studies,Female,2019,All ages,Cumulative percentages,0,E and above,0
Communication studies,Female,2019,All ages,Non-cumulative percentages,0,A,0
Communication studies,Female,2019,All ages,Non-cumulative percentages,0,A*,0
Communication studies,Female,2019,All ages,Non-cumulative percentages,0,B,0
Communication studies,Female,2019,All ages,Non-cumulative percentages,0,C,0
Communication studies,Female,2019,All ages,Non-cumulative percentages,0,D,0
Communication studies,Female,2019,All ages,Non-cumulative percentages,0,E,0
Communication studies,Male,2008,All ages,Cumulative percentages,650,A and above,18.7
Communication studies,Male,2008,All ages,Cumulative percentages,650,B and above,42.5
Communication studies,Male,2008,All ages,Cumulative percentages,650,C and above,73.3
Communication studies,Male,2008,All ages,Cumulative percentages,650,D and above,93.1
Communication studies,Male,2008,All ages,Cumulative percentages,650,E and above,99.2
Communication studies,Male,2008,All ages,Non-cumulative percentages,650,A,18.7
Communication studies,Male,2008,All ages,Non-cumulative percentages,650,B,23.8
Communication studies,Male,2008,All ages,Non-cumulative percentages,650,C,30.8
Communication studies,Male,2008,All ages,Non-cumulative percentages,650,D,19.8
Communication studies,Male,2008,All ages,Non-cumulative percentages,650,E,6.1
Communication studies,Male,2009,All ages,Cumulative percentages,645,A and above,18.4
Communication studies,Male,2009,All ages,Cumulative percentages,645,B and above,47.4
Communication studies,Male,2009,All ages,Cumulative percentages,645,C and above,78.4
Communication studies,Male,2009,All ages,Cumulative percentages,645,D and above,92.1
Communication studies,Male,2009,All ages,Cumulative percentages,645,E and above,97.7
Communication studies,Male,2009,All ages,Non-cumulative percentages,645,A,18.4
Communication studies,Male,2009,All ages,Non-cumulative percentages,645,B,29
Communication studies,Male,2009,All ages,Non-cumulative percentages,645,C,31
Communication studies,Male,2009,All ages,Non-cumulative percentages,645,D,13.7
Communication studies,Male,2009,All ages,Non-cumulative percentages,645,E,5.6
Communication studies,Male,2010,All ages,Cumulative percentages,580,A and above,19.8
Communication studies,Male,2010,All ages,Cumulative percentages,580,A*,7.1
Communication studies,Male,2010,All ages,Cumulative percentages,580,B and above,46
Communication studies,Male,2010,All ages,Cumulative percentages,580,C and above,74.5
Communication studies,Male,2010,All ages,Cumulative percentages,580,D and above,93.6
