,year,country,cluster,pop,life_expect,fertility
570,2000,Philippines,4,79739825,70.303,3.5436
571,2005,Philippines,4,87857473,71.688,3.2327
572,1955,Poland,1,27220668,65.77,3.29
573,1960,Poland,1,29589842,67.64,2.65
574,1965,Poland,1,31262358,69.61,2.27
575,1970,Poland,1,32526000,70.85,2.25
576,1975,Poland,1,33969240,70.67,2.26
577,1980,Poland,1,35578016,71.32,2.33
578,1985,Poland,1,37225792,70.98,2.15
579,1990,Poland,1,38119408,70.99,1.8900000000000001
580,1995,Poland,1,38600642,72.75,1.478
581,2000,Poland,1,38654164,74.67,1.251
582,2005,Poland,1,38557984,75.563,1.227
583,1955,Portugal,1,8692600,61.51,3.03
584,1960,Portugal,1,9036700,64.39,3.074
585,1965,Portugal,1,9128850,66.6,2.849
586,1970,Portugal,1,9044200,69.26,2.748
587,1975,Portugal,1,9411090,70.41,2.41
588,1980,Portugal,1,9777800,72.77,1.982
589,1985,Portugal,1,9897192,74.06,1.5939999999999999
590,1990,Portugal,1,9922689,74.86,1.516
591,1995,Portugal,1,10065543,75.97,1.475
592,2000,Portugal,1,10335597,77.29,1.454
593,2005,Portugal,1,10566212,78.098,1.455
594,1955,Rwanda,2,2698272,41.5,8.0
595,1960,Rwanda,2,3031804,43.0,8.1
596,1965,Rwanda,2,3264640,44.1,8.2
597,1970,Rwanda,2,3769171,44.6,8.29
598,1975,Rwanda,2,4356863,45.0,8.492
599,1980,Rwanda,2,5138689,46.218,8.5
600,1985,Rwanda,2,6009833,44.02,8.25
601,1990,Rwanda,2,6923738,23.599,6.9
602,1995,Rwanda,2,5706501,36.087,6.0993
603,2000,Rwanda,2,7507056,43.413,6.01
604,2005,Rwanda,2,8440820,46.242,5.9169
605,1955,Saudi Arabia,5,4243218,42.868,7.175
606,1960,Saudi Arabia,5,4718301,45.914,7.257
607,1965,Saudi Arabia,5,5327432,49.901,7.257
608,1970,Saudi Arabia,5,6109051,53.886,7.298
609,1975,Saudi Arabia,5,7204820,58.69,7.2780000000000005
610,1980,Saudi Arabia,5,9999161,63.012,7.015
611,1985,Saudi Arabia,5,13330067,66.295,6.217
612,1990,Saudi Arabia,5,16060761,68.768,5.446
613,1995,Saudi Arabia,5,19966998,70.533,4.621
614,2000,Saudi Arabia,5,23153090,71.626,3.81
615,2005,Saudi Arabia,5,26417599,72.777,3.352
616,1955,South Africa,2,15368551,47.985,6.5
617,1960,South Africa,2,17416653,49.951,6.3
618,1965,South Africa,2,19898242,51.927,5.7
619,1970,South Africa,2,22739921,53.696,5.47
620,1975,South Africa,2,25815144,55.527,5.0
621,1980,South Africa,2,29251588,58.161,4.556
622,1985,South Africa,2,34254092,60.834,3.85
623,1990,South Africa,2,38391094,61.888,3.343
624,1995,South Africa,2,41779149,60.236,2.954
625,2000,South Africa,2,44066197,53.365,2.802
626,2005,South Africa,2,44344136,49.339,2.637
627,1955,Spain,1,29318745,66.66,2.75
628,1960,Spain,1,30641187,69.69,2.89
629,1965,Spain,1,32084511,71.44,2.92
630,1970,Spain,1,33876479,73.06,2.86
631,1975,Spain,1,35563535,74.39,2.5700000000000003
632,1980,Spain,1,37488360,76.3,1.8900000000000001
633,1985,Spain,1,38534853,76.9,1.48
634,1990,Spain,1,39350769,77.57,1.27
635,1995,Spain,1,39749715,78.77,1.182
636,2000,Spain,1,40016081,79.78,1.287
637,2005,Spain,1,40341462,80.941,1.409
638,1955,Switzerland,1,4980000,70.56,2.34
639,1960,Switzerland,1,5362000,71.32,2.51
640,1965,Switzerland,1,5943000,72.77,2.27
641,1970,Switzerland,1,6267000,73.78,1.82
642,1975,Switzerland,1,6403500,75.39,1.53
643,1980,Switzerland,1,6385229,76.21,1.53
644,1985,Switzerland,1,6563770,77.41,1.53
645,1990,Switzerland,1,6836626,78.03,1.54
646,1995,Switzerland,1,7157106,79.37,1.47
647,2000,Switzerland,1,7266920,80.62,1.415
648,2005,Switzerland,1,7489370,81.701,1.42
649,1955,Turkey,1,24144571,48.079,6.6
650,1960,Turkey,1,28217122,52.098,6.19
651,1965,Turkey,1,31950718,54.336,5.7
652,1970,Turkey,1,35758382,57.005,5.3
653,1975,Turkey,1,40529798,59.507,4.715
654,1980,Turkey,1,45120802,61.036,4.15
655,1985,Turkey,1,50669003,63.108,3.276
656,1990,Turkey,1,56084632,66.146,2.904
657,1995,Turkey,1,61188984,68.835,2.574
658,2000,Turkey,1,65666677,70.845,2.23
659,2005,Turkey,1,69660559,71.777,2.143
660,1955,United Kingdom,1,50946000,70.42,2.49
661,1960,United Kingdom,1,52372000,70.76,2.81
662,1965,United Kingdom,1,54350000,71.36,2.52
663,1970,United Kingdom,1,55632000,72.01,2.04
664,1975,United Kingdom,1,56215000,72.76,1.72
665,1980,United Kingdom,1,56314000,74.04,1.8
666,1985,United Kingdom,1,56620240,75.007,1.81
667,1990,United Kingdom,1,57493307,76.42,1.78
668,1995,United Kingdom,1,58426014,77.218,1.7000000000000002
669,2000,United Kingdom,1,59522468,78.471,1.695
670,2005,United Kingdom,1,60441457,79.425,1.815
671,1955,United States,3,165931000,69.49,3.706
672,1960,United States,3,180671000,70.21,3.314
673,1965,United States,3,194303000,70.76,2.545
674,1970,United States,3,205052000,71.34,2.016
675,1975,United States,3,215973000,73.38,1.788
676,1980,United States,3,227726463,74.65,1.8250000000000002
677,1985,United States,3,238466283,75.02,1.924
678,1990,United States,3,250131894,76.09,2.025
679,1995,United States,3,266557091,76.81,1.994
680,2000,United States,3,282338631,77.31,2.038
681,2005,United States,3,295734134,78.242,2.054
682,1955,Venezuela,3,6170497,57.907,6.4585
683,1960,Venezuela,3,7556483,60.77,6.657
684,1965,Venezuela,3,9067735,63.479,5.9045000000000005
685,1970,Venezuela,3,10758017,65.712,4.941
686,1975,Venezuela,3,12674987,67.456,4.4685
687,1980,Venezuela,3,14767890,68.557,3.957
688,1985,Venezuela,3,16997509,70.19,3.6485000000000003
689,1990,Venezuela,3,19325222,71.15,3.25
690,1995,Venezuela,3,21555902,72.146,2.9415
691,2000,Venezuela,3,23542649,72.766,2.723
692,2005,Venezuela,3,25375281,73.747,2.547
